id,size,annualized,prop_dt,prop_large,prop_retail,prop_insider,share
003992,0.08,1.96%,2017-06-30,0.00%,100.00%,0.12%,0.32
003993,4.73,4.96%,2017-06-30,99.68%,0.32%,0.00%,3.59
003994,23.39,--,2017-06-30,99.64%,0.36%,0.00%,13.72
003995,1.00,--,-,-,-,-,-
003996,0.00,--,-,-,-,-,-
003997,1.40,--,-,-,-,-,-
003998,2.51,--,-,-,-,-,-
003999,2.02,--,2017-06-30,99.99%,0.01%,0.00%,2.00
004000,0.83,-1.67%,2017-06-30,54.96%,45.04%,0.00%,3.24
004001,20.14,3.07%,2017-06-30,100.00%,0.00%,0.00%,19.94
004002,0.00,2.78%,2017-06-30,0.00%,100.00%,13.98%,0.00
004003,2.21,--,2017-06-30,100.00%,0.00%,0.00%,6.00
004004,0.00,--,2017-06-30,0.00%,100.00%,0.38%,0.00
004005,0.79,--,2017-06-30,31.45%,68.55%,0.00%,1.26
004006,0.46,--,2017-06-30,21.62%,78.38%,0.00%,0.99
004007,2.24,--,-,-,-,-,-
004008,0.11,71.41%,2017-06-30,---,100.00%,0.14%,0.00
004009,1.32,69.06%,2017-06-30,99.96%,0.04%,0.00%,1.98
004010,4.02,8.31%,2017-06-30,100.00%,0.00%,0.00%,4.00
004011,0.00,10.96%,2017-06-30,---,100.00%,0.00%,0.00
004012,4.78,6.88%,2017-06-30,100.00%,0.00%,0.00%,4.45
004013,0.00,6.63%,2017-06-30,0.00%,100.00%,0.00%,0.00
004014,4.78,6.76%,2017-06-30,100.00%,0.00%,0.00%,4.45
004015,0.00,6.38%,2017-06-30,---,100.00%,0.00%,0.00
004020,42.27,--,2017-06-30,100.00%,0.00%,0.00%,42.00
004021,5.02,2.66%,2017-06-30,100.00%,0.00%,0.00%,5.00
004022,0.00,2.25%,2017-06-30,0.00%,100.00%,89.11%,0.00
004023,0.77,--,-,-,-,-,-
004024,2.46,--,2017-06-30,79.61%,20.39%,0.26%,2.36
004025,2.05,--,-,-,-,-,-
004026,0.34,--,-,-,-,-,-
004027,103.56,--,2017-06-30,100.00%,0.00%,0.00%,101.90
004028,0.00,--,2017-06-30,0.00%,100.00%,2.00%,0.00
004030,15.13,2.47%,2017-06-30,100.00%,0.00%,0.00%,15.00
004031,0.51,--,2017-06-30,99.99%,0.01%,0.00%,2.00
004032,18.14,--,2017-06-30,100.00%,0.00%,0.00%,909.55
004033,2.06,--,2017-06-30,99.99%,0.01%,0.00%,2.00
004034,2.22,--,2017-06-30,83.23%,16.77%,0.00%,2.15
004035,0.12,--,2017-06-30,---,100.00%,0.26%,0.12
004036,2.29,5.13%,2017-06-30,100.00%,0.00%,0.00%,9.00
004037,0.00,5.18%,2017-06-30,0.00%,100.00%,0.69%,0.00
004038,2.16,--,2017-06-30,99.58%,0.42%,0.00%,2.01
004039,45.01,4.41%,2017-06-30,99.93%,0.07%,0.06%,43.14
004040,0.03,--,-,-,-,-,-
004041,0.02,--,-,-,-,-,-
004042,0.53,--,2017-06-30,98.24%,1.76%,1.74%,0.03
004043,0.00,--,2017-06-30,---,100.00%,95.16%,0.00
004044,8.70,--,-,-,-,-,-
004045,2.10,--,2017-06-30,100.00%,0.00%,0.00%,2.10
004046,0.00,--,2017-06-30,---,100.00%,99.16%,0.00
004047,5.42,--,2017-06-30,100.00%,---,0.00%,4.84
004048,5.40,--,2017-06-30,99.99%,0.01%,0.00%,5.00
004049,0.00,--,-,-,-,-,-
004050,2.03,--,-,-,-,-,-
004051,0.00,--,-,-,-,-,-
004052,42.29,3.82%,2017-06-30,100.00%,0.00%,0.00%,42.02
004053,0.00,3.73%,2017-06-30,---,100.00%,0.48%,0.00
004054,0.26,--,-,-,-,-,-
004055,0.01,--,-,-,-,-,-
004056,41.89,4.06%,2017-06-30,5.90%,94.10%,0.00%,40.65
004059,42.04,3.09%,2017-06-30,100.00%,0.00%,0.00%,41.92
004060,64.89,4.46%,2017-06-30,99.70%,0.30%,0.00%,102.67
004061,4.31,--,2017-06-30,99.87%,0.13%,0.00%,4.20
004062,0.00,--,2017-06-30,---,100.00%,100.00%,0.00
004063,2.17,--,2017-06-30,96.09%,3.91%,0.03%,2.08
004064,4.24,--,2017-06-30,100.00%,0.00%,0.00%,6.00
004065,0.42,-22.99%,2017-06-30,18.91%,81.09%,2.31%,0.65
004066,50.75,--,2017-06-30,100.00%,0.00%,0.00%,49.99
004069,0.50,--,2017-06-30,52.89%,47.11%,0.06%,0.38
004070,0.97,--,2017-06-30,58.06%,41.94%,0.43%,0.35
004072,0.07,3.89%,2017-06-30,4.79%,95.21%,75.92%,0.01
004073,9.99,4.14%,2017-06-30,99.77%,0.23%,0.00%,23.32
004075,3.74,--,2017-06-30,4.18%,95.82%,0.00%,11.88
004076,2.88,15.02%,2017-06-30,6.77%,93.23%,0.45%,2.22
004077,0.05,3.93%,2017-06-30,0.01%,99.97%,1.51%,0.01
004078,3.69,4.20%,2017-06-30,99.99%,0.00%,0.00%,2.30
004079,5.12,3.26%,2017-06-30,100.00%,0.00%,0.00%,4.99
004080,0.00,3.08%,2017-06-30,0.00%,100.00%,34.90%,0.00
004081,2.56,--,2017-06-30,100.00%,0.00%,0.00%,6.00
004082,0.00,--,2017-06-30,---,100.00%,0.00%,0.00
004083,2.04,--,2017-06-30,100.00%,0.00%,0.00%,6.00
004084,0.00,--,2017-06-30,---,100.00%,0.00%,0.00
004085,0.53,-2.42%,2017-06-30,99.84%,0.16%,0.04%,0.61
004086,0.00,-2.48%,2017-06-30,0.00%,100.00%,12.57%,0.00
004087,30.08,--,2017-06-30,100.00%,0.00%,0.00%,30.00
004088,2.19,--,-,-,-,-,-
004089,7.12,3.92%,2017-06-30,99.96%,0.04%,0.01%,6.98
004090,0.00,3.21%,2017-06-30,---,100.00%,42.86%,0.00
004091,0.46,16.07%,2017-06-30,82.16%,17.84%,0.04%,0.41
004092,0.27,13.92%,2017-06-30,71.95%,28.05%,0.11%,0.27
004093,1.60,--,2017-06-30,99.94%,0.06%,0.03%,1.90
004094,3.86,4.19%,2017-06-30,100.00%,0.00%,0.00%,6.40
004095,0.00,--,-,-,-,-,-
004096,5.09,--,2017-06-30,73.24%,26.76%,0.00%,6.83
004097,27.48,4.03%,2017-06-30,31.30%,68.70%,0.00%,8.70
004098,2.37,--,-,-,-,-,-
004099,1.34,--,-,-,-,-,-
004100,0.93,--,2017-06-30,0.00%,100.00%,0.00%,2.08
004101,2.04,--,-,-,-,-,-
004102,5.14,3.81%,2017-06-30,100.00%,0.00%,0.00%,5.00
004103,0.00,3.86%,2017-06-30,---,100.00%,0.49%,0.00
004104,22.06,--,2017-06-30,100.00%,0.00%,0.00%,22.00
004105,0.00,--,2017-06-30,---,100.00%,0.51%,0.00
004106,14.99,3.68%,2017-06-30,100.00%,0.00%,0.00%,14.97
004107,0.00,3.61%,2017-06-30,---,100.00%,1.16%,0.00
004108,32.64,--,2017-06-30,100.00%,0.00%,0.00%,31.98
004109,0.00,--,2017-06-30,---,100.00%,0.07%,0.00
004110,0.00,--,-,-,-,-,-
004111,0.50,--,-,-,-,-,-
004112,2.68,-2.19%,2017-06-30,5.71%,94.29%,0.20%,3.17
004113,4.43,6.25%,2017-06-30,100.00%,0.00%,0.00%,4.45
004114,0.00,5.97%,2017-06-30,1.02%,98.98%,0.00%,0.00
004115,2.07,--,2017-06-30,99.99%,0.01%,0.00%,6.00
004116,5.74,13.78%,2017-06-30,99.99%,0.01%,0.00%,4.99
004117,20.26,--,2017-06-30,100.00%,0.00%,0.00%,20.00
004118,0.02,9.57%,2017-06-30,100.00%,0.00%,0.00%,9.95
004119,5.36,--,-,-,-,-,-
004120,95.54,--,-,-,-,-,-
004121,171.61,4.24%,2017-06-30,100.00%,0.00%,0.00%,132.10
004122,30.32,--,2017-06-30,99.99%,0.01%,0.00%,30.00
004123,20.22,--,2017-06-30,99.98%,0.02%,0.00%,20.00
004124,20.03,--,2017-06-30,99.99%,0.01%,0.00%,19.99
004126,8.36,2.04%,2017-06-30,100.00%,0.00%,0.00%,15.70
004127,10.20,--,2017-06-30,99.97%,0.03%,0.00%,10.00
004128,1.36,--,-,-,-,-,-
004129,2.06,--,2017-06-30,100.00%,0.00%,0.00%,6.00
004130,0.00,--,2017-06-30,---,100.00%,0.00%,0.00
004131,2.56,--,2017-06-30,100.00%,0.00%,0.00%,6.00
004132,0.00,--,2017-06-30,0.00%,100.00%,0.00%,0.00
004133,2.76,3.76%,2017-06-30,95.89%,4.11%,0.23%,3.89
004134,12.31,--,2017-06-30,0.78%,99.22%,0.00%,11.96
004135,4.05,--,2017-06-30,13.57%,86.43%,0.03%,7.09
004136,68.06,3.70%,2017-06-30,100.00%,0.00%,0.00%,67.84
004137,531.66,4.47%,2017-06-30,20.05%,79.95%,0.07%,239.28
004138,2.51,--,2017-06-30,13.39%,86.61%,2.78%,3.73
004139,0.99,--,2017-06-30,---,100.00%,0.09%,2.72
004140,21.02,--,2017-06-30,100.00%,0.00%,0.00%,20.99
004141,30.87,--,2017-06-30,100.00%,0.00%,0.00%,30.00
004142,0.52,--,2017-06-30,---,100.00%,0.00%,0.96
004143,0.12,--,2017-06-30,1.73%,98.27%,0.18%,0.28
004144,4.77,5.47%,2017-06-30,100.00%,0.00%,0.00%,5.50
004145,0.00,5.12%,2017-06-30,---,100.00%,35.42%,0.00
004146,4.77,5.45%,2017-06-30,100.00%,0.00%,0.00%,5.50
004147,0.00,5.17%,2017-06-30,---,100.00%,35.82%,0.00
004148,20.13,--,2017-06-30,0.65%,99.35%,0.01%,24.23
004149,5.43,8.85%,2017-06-30,99.97%,0.03%,0.00%,5.00
004150,0.00,8.73%,2017-06-30,---,100.00%,0.00%,0.00
004151,12.80,--,2017-06-30,---,100.00%,0.06%,0.39
004152,20.43,--,2017-06-30,75.67%,24.33%,0.00%,2.84
004153,0.00,9.51%,2017-06-30,---,100.00%,0.00%,0.00
004154,2.06,8.93%,2017-06-30,100.00%,0.00%,0.00%,2.00
004155,2.05,--,-,-,-,-,-
004156,0.02,--,-,-,-,-,-
004157,0.00,--,2017-06-30,99.96%,0.04%,0.00%,4.00
004158,0.82,--,2017-06-30,---,100.00%,0.02%,0.01
004159,2.27,2.62%,2017-06-30,---,100.00%,0.00%,2.21
004160,0.00,2.15%,2017-06-30,---,100.00%,0.00%,0.00
004161,1.89,--,-,-,-,-,-
004162,1.89,--,-,-,-,-,-
004163,1.89,--,-,-,-,-,-
004164,0.01,--,-,-,-,-,-
004165,5.82,--,2017-06-30,---,100.00%,0.00%,5.51
004166,1.61,--,-,-,-,-,-
004167,16.92,4.36%,2017-06-30,99.62%,0.38%,0.00%,13.70
004168,5.07,1.68%,2017-06-30,99.99%,0.01%,0.00%,5.01
004169,0.01,--,2017-06-30,23.24%,76.76%,71.21%,0.00
004170,103.37,--,2017-06-30,100.00%,---,0.00%,101.33
004171,30.16,4.29%,2017-06-30,100.00%,0.00%,0.00%,30.00
004172,0.00,3.87%,2017-06-30,---,100.00%,0.23%,0.00
004173,86.70,4.42%,2017-06-30,93.52%,6.48%,0.15%,35.28
004175,0.00,18.89%,2017-06-30,---,100.00%,0.00%,0.01
004176,1.60,8.57%,2017-06-30,100.00%,0.00%,0.00%,1.49
004177,0.00,--,2017-06-30,0.00%,100.00%,0.00%,0.00
004178,0.19,--,2017-06-30,61.54%,38.46%,11.72%,0.13
004179,51.75,--,2017-06-30,98.20%,1.80%,0.00%,27.80
004180,0.10,3.52%,2017-06-30,99.95%,0.05%,0.03%,1.90
004181,0.00,3.53%,2017-06-30,100.00%,---,0.00%,0.20
004182,0.68,--,-,-,-,-,-
004183,1.44,--,-,-,-,-,-
004184,30.60,--,-,-,-,-,-
004185,0.01,--,-,-,-,-,-
004186,8.24,--,-,-,-,-,-
004189,0.45,--,2017-06-30,3.90%,96.10%,0.13%,1.92
004190,2.67,14.76%,2017-06-30,5.00%,95.00%,0.02%,2.12
004191,0.34,14.58%,2017-06-30,---,100.00%,0.14%,0.01
004192,0.92,--,-,-,-,-,-
004193,0.48,--,-,-,-,-,-
004194,1.43,--,2017-06-30,---,100.00%,0.00%,1.52
004195,0.11,--,2017-06-30,---,100.00%,0.04%,0.02
004196,4.20,--,-,-,-,-,-
004197,0.00,--,-,-,-,-,-
004198,0.00,3.77%,2017-06-30,0.00%,100.00%,0.00%,0.00
004199,315.18,4.02%,2017-06-30,100.00%,0.00%,0.00%,304.05
004200,2.04,--,2017-06-30,99.91%,0.09%,0.00%,2.03
004201,192.59,4.37%,2017-06-30,100.00%,---,0.00%,9.66
004202,1.36,--,-,-,-,-,-
004203,2.07,--,2017-06-30,73.86%,26.14%,0.00%,2.02
004204,0.04,--,2017-06-30,---,100.00%,0.00%,0.04
004205,0.46,--,-,-,-,-,-
004206,2.11,1.30%,2017-06-30,99.42%,0.58%,0.00%,2.15
004207,2.10,--,2017-06-30,100.00%,0.00%,0.00%,6.00
004208,0.00,--,2017-06-30,---,100.00%,88.24%,0.00
004209,0.43,--,2017-06-30,---,100.00%,0.45%,1.23
004210,0.03,3.88%,2017-06-30,0.00%,100.00%,54.77%,0.02
004211,3.93,--,-,-,-,-,-
004212,0.58,--,2017-06-30,7.79%,92.21%,0.42%,2.57
004213,1.65,--,2017-06-30,100.00%,0.00%,0.00%,2.22
004216,0.12,4.20%,2017-06-30,2.74%,97.26%,2.38%,0.03
004217,398.49,4.44%,2017-06-30,100.00%,---,0.00%,231.07
004218,0.78,--,2017-06-30,55.64%,44.36%,0.12%,2.21
004219,2.27,--,2017-06-30,63.42%,36.58%,0.01%,2.18
004220,7.01,2.78%,2017-06-30,50.71%,49.29%,0.00%,6.96
004221,0.02,-16.78%,2017-06-30,0.00%,100.00%,0.00%,0.01
004222,0.37,--,-,-,-,-,-
004223,0.00,--,-,-,-,-,-
004224,4.99,--,2017-06-30,0.06%,99.94%,0.13%,6.66
004225,2.47,6.39%,2017-06-30,100.00%,0.00%,0.00%,6.00
004226,0.00,6.27%,2017-06-30,0.00%,100.00%,73.11%,0.00
004227,0.41,--,-,-,-,-,-
004228,0.04,--,-,-,-,-,-
004230,39.90,--,2017-06-30,100.00%,0.00%,0.00%,39.93
004231,0.41,30.66%,2017-06-30,30.12%,69.88%,0.04%,0.01
004232,3.12,14.92%,2017-06-30,4.54%,95.46%,0.02%,0.91
004233,0.04,13.59%,2017-06-30,83.02%,16.98%,0.00%,0.00
004234,0.01,-6.51%,2017-06-30,29.07%,70.93%,0.05%,0.01
004235,0.00,-14.79%,2017-06-30,99.96%,0.04%,0.00%,0.27
004236,0.03,-1.29%,2017-06-30,36.73%,63.27%,0.00%,0.00
004237,0.05,9.81%,2017-06-30,3.84%,96.16%,0.01%,0.03
004238,100.46,--,2017-06-30,99.96%,0.04%,0.01%,0.60
004241,0.25,18.06%,2017-06-30,---,100.00%,0.24%,0.03
004242,2.06,3.00%,2017-06-30,100.00%,0.00%,0.00%,2.00
004243,0.07,--,2017-06-30,0.00%,100.00%,1.41%,0.14
004244,0.33,--,2017-06-30,0.03%,99.97%,0.01%,1.47
004245,0.55,--,-,-,-,-,-
004246,10.00,4.22%,2017-06-30,100.00%,0.00%,0.00%,9.97
004247,0.00,4.14%,2017-06-30,0.00%,100.00%,0.96%,0.00
004248,6.40,8.66%,2017-06-30,99.96%,0.04%,0.00%,6.00
004249,1.01,--,2017-06-30,10.93%,89.07%,0.21%,2.29
004250,0.59,--,2017-06-30,2.63%,97.37%,0.07%,2.28
004251,1.44,4.20%,2017-06-30,95.28%,4.72%,0.00%,2.16
004252,0.00,--,2017-06-30,---,100.00%,100.00%,0.00
004253,0.48,--,2017-06-30,---,100.00%,0.08%,0.00
004254,2.23,--,2017-06-30,92.92%,7.08%,0.12%,2.15
004255,0.03,--,2017-06-30,19.10%,80.90%,0.08%,0.03
004256,0.00,--,-,-,-,-,-
004258,2.17,6.81%,2017-06-30,100.00%,0.00%,0.00%,6.00
004259,0.00,6.70%,2017-06-30,0.00%,100.00%,72.49%,0.00
004260,1.22,--,2017-06-30,99.98%,0.02%,0.01%,1.29
004261,38.09,--,2017-06-30,1.91%,98.09%,0.13%,0.16
004262,2.07,--,2017-06-30,93.20%,6.80%,0.00%,0.74
004263,0.63,--,-,-,-,-,-
004264,2.04,--,2017-06-30,100.00%,0.00%,0.00%,2.00
004265,3.03,--,-,-,-,-,-
004266,0.52,--,2017-06-30,99.95%,0.05%,0.01%,2.00
004267,0.00,-1.42%,-,-,-,-,-
004268,0.45,--,2017-06-30,7.52%,92.48%,0.00%,0.66
004269,0.08,--,2017-06-30,---,100.00%,0.00%,0.21
004270,2.09,--,-,-,-,-,-
004271,0.45,--,-,-,-,-,-
004272,0.28,--,-,-,-,-,-
004273,0.03,--,-,-,-,-,-
004276,4.12,--,2017-06-30,30.34%,69.66%,0.00%,3.95
004277,0.65,--,2017-06-30,0.00%,100.00%,0.13%,0.63
004278,16.71,--,2017-06-30,0.69%,99.31%,0.01%,14.83
004279,2.15,5.10%,2017-06-30,100.00%,0.00%,0.00%,6.00
004280,0.00,5.00%,2017-06-30,0.00%,100.00%,70.99%,0.00
004281,3.13,--,2017-06-30,16.61%,83.39%,0.10%,3.02
004282,138.55,--,2017-06-30,99.87%,0.13%,0.00%,53.67
004283,7.16,--,2017-06-30,---,100.00%,0.00%,6.80
004284,5.73,--,2017-06-30,0.09%,99.91%,0.09%,5.56
004285,0.12,--,2017-06-30,99.07%,0.93%,0.00%,0.04
004286,2.92,--,2017-06-30,100.00%,0.00%,0.00%,4.37
004287,0.58,--,2017-06-30,0.00%,100.00%,0.58%,1.59
004289,0.04,0.48%,2017-06-30,---,100.00%,86.55%,0.00
004290,1.97,--,-,-,-,-,-
004291,0.10,--,-,-,-,-,-
004292,1.14,--,2017-06-30,0.00%,100.00%,0.16%,0.63
004295,1.42,--,2017-06-30,---,100.00%,0.00%,1.39
004296,0.87,--,2017-06-30,---,100.00%,0.00%,0.86
004297,2.02,--,2017-06-30,99.98%,0.02%,0.00%,6.00
004298,0.00,--,2017-06-30,---,100.00%,0.00%,0.00
004299,2.01,--,2017-06-30,100.00%,0.00%,0.00%,6.00
004300,0.00,--,2017-06-30,0.00%,100.00%,5.63%,0.00
004301,2.15,--,2017-06-30,100.00%,0.00%,0.00%,6.00
004302,0.00,--,2017-06-30,---,100.00%,25.43%,0.00
004303,2.01,--,2017-06-30,100.00%,0.00%,0.00%,6.00
004304,0.00,--,2017-06-30,0.00%,100.00%,0.44%,0.00
004305,2.01,--,2017-06-30,100.00%,0.00%,0.00%,6.00
004306,0.00,--,2017-06-30,0.00%,100.00%,0.12%,0.00
004307,50.99,--,2017-06-30,100.00%,0.00%,0.00%,49.88
004308,2.02,--,2017-06-30,99.99%,0.01%,0.00%,6.00
004309,0.00,--,2017-06-30,0.00%,100.00%,0.00%,0.00
004310,2.02,--,2017-06-30,100.00%,0.00%,0.00%,6.00
004311,0.00,--,2017-06-30,0.00%,100.00%,0.50%,0.00
004312,2.01,--,2017-06-30,100.00%,0.00%,0.00%,6.00
004313,0.00,--,2017-06-30,0.00%,100.00%,0.48%,0.00
004314,0.00,--,2017-06-30,0.00%,100.00%,0.00%,0.01
004315,0.02,--,2017-06-30,0.00%,100.00%,0.00%,0.05
004316,0.33,--,2017-06-30,0.00%,100.00%,0.00%,0.75
004317,0.31,--,2017-06-30,0.05%,99.95%,0.00%,1.03
004318,1.06,--,2017-06-30,82.95%,17.05%,0.00%,0.72
004319,0.01,--,2017-06-30,---,100.00%,0.16%,0.03
004320,1.85,--,-,-,-,-,-
004321,2.57,--,2017-06-30,100.00%,0.00%,0.00%,4.00
004322,2.05,3.51%,2017-06-30,99.98%,0.02%,0.01%,2.00
004323,2.02,--,2017-06-30,99.93%,0.07%,0.00%,2.00
004326,2.55,--,2017-06-30,100.00%,0.00%,0.00%,6.00
004327,0.00,--,2017-06-30,0.00%,100.00%,0.00%,0.00
004328,6.28,--,2017-06-30,100.00%,0.00%,0.00%,6.00
004329,0.00,--,2017-06-30,---,100.00%,0.29%,0.00
004330,0.07,--,2017-06-30,4.23%,95.77%,16.51%,0.04
004331,30.17,--,2017-06-30,99.62%,0.38%,0.00%,39.79
004332,1.88,--,2017-06-30,0.25%,99.75%,0.17%,4.00
004333,0.41,--,2017-06-30,---,100.00%,0.00%,0.00
004334,7.10,--,2017-06-30,99.98%,0.02%,0.00%,7.09
004335,2.28,--,2017-06-30,99.98%,0.02%,0.01%,3.00
004336,2.02,--,2017-06-30,100.00%,0.00%,0.00%,6.00
004337,0.00,--,2017-06-30,0.00%,100.00%,87.67%,0.00
004338,2.02,--,2017-06-30,99.98%,0.02%,0.00%,6.00
004339,0.00,--,2017-06-30,0.00%,100.00%,68.47%,0.00
004340,4.21,--,-,-,-,-,-
004341,2.05,--,2017-06-30,0.63%,99.37%,0.00%,5.62
004342,0.15,--,2017-06-30,---,100.00%,0.03%,0.01
004343,0.21,--,2017-06-30,---,100.00%,0.06%,0.03
004344,0.02,--,2017-06-30,---,100.00%,0.00%,0.01
004345,0.01,--,2017-06-30,---,100.00%,0.00%,0.01
004346,0.02,--,2017-06-30,---,100.00%,0.12%,0.01
004347,0.02,--,2017-06-30,---,100.00%,0.09%,0.02
004348,1.07,--,2017-06-30,---,100.00%,0.08%,0.01
004351,4.60,--,-,-,-,-,-
004352,0.52,--,-,-,-,-,-
004353,12.23,--,2017-06-30,4.42%,95.58%,0.00%,11.30
004354,0.06,--,-,-,-,-,-
004355,11.55,--,2017-06-30,27.94%,72.06%,0.00%,14.77
004356,5.10,--,-,-,-,-,-
004357,6.33,--,2017-06-30,13.46%,86.54%,0.03%,11.89
004358,0.12,--,2017-06-30,99.89%,0.11%,0.00%,2.00
004359,0.86,--,2017-06-30,---,100.00%,0.03%,2.53
004360,0.65,--,2017-06-30,7.85%,92.15%,0.02%,3.89
004361,0.99,--,2017-06-30,---,100.00%,0.00%,3.37
004362,0.03,--,2017-06-30,---,100.00%,0.00%,0.01
004363,0.00,--,-,-,-,-,-
004364,0.00,--,-,-,-,-,-
004366,0.00,--,2017-06-30,99.99%,0.01%,0.00%,4.20
004367,0.50,--,2017-06-30,---,100.00%,0.01%,0.00
004368,0.19,--,2017-06-30,0.00%,100.00%,60.05%,0.11
004369,7.12,--,2017-06-30,100.00%,0.00%,0.00%,10.15
004372,2.82,--,2017-06-30,0.59%,99.41%,0.00%,3.91
004373,66.64,--,2017-06-30,90.30%,9.70%,0.00%,23.18
004374,1.69,--,2017-06-30,84.81%,15.19%,5.40%,0.71
004375,0.92,--,2017-06-30,88.84%,11.16%,0.00%,0.45
004378,6.28,--,2017-06-30,100.00%,0.00%,0.00%,6.00
004379,0.00,--,2017-06-30,---,100.00%,0.44%,0.00
004380,6.27,--,2017-06-30,100.00%,---,0.00%,6.00
004381,0.00,--,2017-06-30,---,100.00%,0.43%,0.00
004385,2.31,--,2017-06-30,23.65%,76.35%,0.01%,3.77
004386,5.03,--,2017-06-30,99.98%,0.02%,0.00%,5.00
004387,0.00,--,2017-06-30,0.00%,100.00%,2.44%,0.00
004388,2.04,--,2017-06-30,99.93%,0.07%,0.00%,2.00
004389,2.05,--,-,-,-,-,-
004390,0.87,--,2017-06-30,25.79%,74.21%,0.00%,1.55
004391,0.31,--,2017-06-30,99.56%,0.44%,0.00%,0.30
004392,2.21,--,-,-,-,-,-
004393,2.63,--,2017-06-30,0.02%,99.98%,0.01%,3.08
004394,5.42,--,-,-,-,-,-
004395,0.31,--,2017-06-30,99.98%,0.02%,0.01%,2.00
004396,0.59,--,2017-06-30,5.04%,94.96%,0.01%,1.98
004397,0.37,--,-,-,-,-,-
004398,29.35,--,2017-06-30,84.96%,15.04%,0.00%,13.65
004399,7.37,--,2017-06-30,2.77%,97.23%,38.85%,0.38
004400,1.95,--,2017-06-30,100.00%,0.00%,0.00%,2.00
004401,0.00,--,2017-06-30,0.00%,100.00%,17.96%,0.00
004402,0.39,--,-,-,-,-,-
004403,0.30,--,-,-,-,-,-
004404,0.03,--,-,-,-,-,-
004405,4.11,--,-,-,-,-,-
004406,0.00,--,-,-,-,-,-
004407,0.00,--,-,-,-,-,-
004408,0.00,--,-,-,-,-,-
004409,0.00,--,-,-,-,-,-
004410,0.02,--,-,-,-,-,-
004411,4.04,--,2017-06-30,100.00%,0.00%,0.00%,6.00
004412,6.15,--,2017-06-30,100.00%,0.00%,0.00%,6.00
004413,8.99,--,2017-06-30,0.24%,99.76%,0.00%,8.66
004414,0.01,--,2017-06-30,0.00%,100.00%,0.18%,0.06
004415,11.63,--,2017-06-30,99.02%,0.98%,0.00%,3.56
004416,0.00,--,-,-,-,-,-
004417,173.02,--,2017-06-30,99.57%,0.43%,0.05%,113.75
004419,1.49,--,2017-06-30,67.18%,32.82%,0.17%,3.06
004420,0.05,--,2017-06-30,22.00%,78.00%,3.44%,0.11
004421,0.04,--,2017-06-30,---,100.00%,0.00%,0.00
004422,0.04,--,2017-06-30,---,100.00%,0.00%,0.01
004423,0.43,--,-,-,-,-,-
004427,0.68,--,-,-,-,-,-
004428,0.01,--,-,-,-,-,-
004429,1.16,--,-,-,-,-,-
004432,0.18,--,-,-,-,-,-
004433,0.09,--,-,-,-,-,-
004434,4.94,--,2017-06-30,6.26%,93.74%,0.00%,8.25
004435,0.37,--,2017-06-30,3.81%,96.19%,0.02%,0.55
004436,3.07,--,2017-06-30,---,100.00%,0.00%,2.91
004437,7.32,--,2017-06-30,---,100.00%,0.00%,6.99
004438,3.08,--,2017-06-30,99.99%,0.01%,0.01%,3.00
004439,1.93,--,-,-,-,-,-
004440,0.28,--,-,-,-,-,-
004441,2.03,--,2017-06-30,100.00%,0.00%,0.00%,2.00
004442,7.93,--,2017-06-30,100.00%,0.00%,0.00%,7.50
004443,0.86,--,-,-,-,-,-
004444,2.52,--,-,-,-,-,-
004446,1.38,--,-,-,-,-,-
004447,2.67,--,-,-,-,-,-
004448,0.97,--,2017-06-30,46.38%,53.62%,0.00%,0.86
004449,377.64,--,2017-06-30,99.98%,0.02%,0.02%,109.25
004450,33.15,--,-,-,-,-,-
004451,4.05,--,2017-06-30,3.86%,96.14%,0.00%,3.89
004452,0.21,--,2017-06-30,---,100.00%,0.00%,0.21
004453,2.55,--,2017-06-30,100.00%,0.00%,0.00%,6.00
004454,0.00,--,2017-06-30,0.00%,100.00%,0.88%,0.00
004455,0.00,--,2017-06-30,---,100.00%,94.90%,0.00
004456,1.24,--,-,-,-,-,-
004457,2.43,--,-,-,-,-,-
004458,17.02,--,2017-06-30,99.99%,0.01%,0.00%,17.00
004459,30.29,--,2017-06-30,99.98%,0.02%,0.01%,2.00
004460,2.36,--,-,-,-,-,-
004463,20.10,--,2017-06-30,100.00%,0.00%,0.00%,20.00
004464,3.08,--,-,-,-,-,-
004465,0.00,--,-,-,-,-,-
004466,3.70,--,-,-,-,-,-
004467,10.17,--,-,-,-,-,-
004468,0.49,--,-,-,-,-,-
004469,15.09,--,2017-06-30,99.99%,0.01%,0.00%,15.00
004470,0.00,--,2017-06-30,0.00%,100.00%,0.97%,0.00
004473,0.00,--,-,-,-,-,-
004474,48.03,--,-,-,-,-,-
004475,12.71,--,-,-,-,-,-
004476,2.48,--,-,-,-,-,-
004477,48.68,--,2017-06-30,0.15%,99.85%,0.01%,29.39
004479,40.20,--,-,-,-,-,-
004480,1.38,--,-,-,-,-,-
004481,1.46,--,-,-,-,-,-
004482,0.72,--,-,-,-,-,-
004483,0.24,--,-,-,-,-,-
004484,1.34,--,-,-,-,-,-
004485,0.20,--,-,-,-,-,-
004486,1.31,--,-,-,-,-,-
004488,0.23,--,-,-,-,-,-
004489,0.32,--,-,-,-,-,-
004490,0.00,--,-,-,-,-,-
004491,0.00,--,-,-,-,-,-
004493,0.15,--,2017-06-30,34.58%,65.42%,2.05%,0.20
