id,size,annualized,prop_dt,prop_large,prop_retail,prop_insider,share
000486,1.71,1.80%,2017-06-30,89.46%,10.54%,0.54%,25.85
000487,0.46,1.99%,-,-,-,-,-
000488,10.22,2.60%,2016-12-31,99.65%,0.35%,0.00%,21.35
000489,2.39,2.54%,2017-06-30,97.95%,2.05%,0.00%,4.77
000490,0.43,2.23%,2017-06-30,90.91%,9.09%,0.00%,0.43
000493,0.07,4.29%,2017-06-30,0.64%,99.36%,0.62%,0.09
000494,0.30,4.34%,2017-06-30,0.27%,99.73%,0.78%,0.54
000495,64.30,4.41%,2017-06-30,57.97%,42.03%,0.44%,50.47
000496,0.09,24.07%,2017-06-30,51.42%,48.58%,1.43%,0.07
000497,5.46,1.93%,2017-06-30,98.83%,1.17%,0.00%,5.98
000501,0.17,3.25%,2017-06-30,0.00%,100.00%,0.00%,0.21
000502,3.01,2.86%,2017-06-30,99.33%,0.67%,0.07%,1.53
000503,2.16,1.65%,2017-06-30,35.48%,64.52%,0.23%,2.09
000504,0.11,1.32%,2017-06-30,---,100.00%,0.00%,0.11
000505,8.72,3.71%,2017-06-30,54.27%,45.73%,1.04%,1.74
000506,187.59,3.96%,2017-06-30,99.89%,0.11%,0.00%,247.70
000507,3.21,12.56%,2017-06-30,53.59%,46.41%,0.00%,2.44
000508,0.56,11.95%,2017-06-30,84.54%,15.46%,0.03%,2.10
000509,139.68,4.15%,2017-06-30,67.22%,32.78%,0.39%,218.00
000510,1.98,2.06%,2017-06-30,25.52%,74.48%,0.00%,8.41
000511,3.61,14.29%,2017-06-30,85.81%,14.19%,0.00%,2.01
000512,2.59,16.90%,2017-06-30,89.86%,10.14%,0.01%,2.00
000513,8.41,19.86%,2017-06-30,0.01%,99.99%,0.14%,5.72
000516,5.23,--,-,-,-,-,-
000517,0.00,--,-,-,-,-,-
000520,2.14,1.27%,2017-06-30,88.51%,11.49%,0.37%,1.67
000521,2.11,--,-,-,-,-,-
000522,0.84,10.47%,2017-06-30,0.00%,100.00%,0.11%,0.34
000523,7.36,-10.49%,2017-06-30,71.57%,28.43%,0.58%,6.51
000524,2.99,-4.41%,2017-06-30,59.47%,40.53%,0.01%,6.34
000526,0.38,12.05%,2017-06-30,76.08%,23.92%,0.12%,1.23
000527,17.57,22.50%,2017-06-30,63.92%,36.08%,0.36%,4.52
000528,117.21,3.72%,2017-06-30,12.41%,87.59%,0.00%,61.08
000529,12.99,27.19%,2017-06-30,29.81%,70.19%,0.23%,4.94
000530,1.23,0.66%,2017-06-30,10.18%,89.82%,0.05%,1.80
